"gen","tier","elo","year","month","usage_link","team_link"
"6","ubers",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen5ubers-1630.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-1630.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5ubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5ubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5ubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesubers-1760.txt"
"6","ubers",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5ubers-1760.txt","https://www.smogon.com/stats/2014-11/metagame/ubers-1760.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-0.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-0.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-0.txt","https://www.smogon.com/stats/2014-11/metagame/uu-0.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1500.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1630.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/gen5uu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1760.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-0.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-0.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-0.txt"
"6","uu",0,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-0.txt","https://www.smogon.com/stats/2014-11/metagame/uu-0.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1500.txt"
"6","uu",1500,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1500.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1630.txt"
"6","uu",1630,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1630.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/gen5uu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/lcuu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/smogondoublesuu-1760.txt"
"6","uu",1760,2014,11,"https://www.smogon.com/stats/2014-11/lcuu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/uu-1760.txt"
"6","nu",0,2014,11,"https://www.smogon.com/stats/2014-11/nu-0.txt","https://www.smogon.com/stats/2014-11/metagame/nu-0.txt"
"6","nu",1500,2014,11,"https://www.smogon.com/stats/2014-11/nu-1500.txt","https://www.smogon.com/stats/2014-11/metagame/nu-1500.txt"
"6","nu",1630,2014,11,"https://www.smogon.com/stats/2014-11/nu-1630.txt","https://www.smogon.com/stats/2014-11/metagame/nu-1630.txt"
"6","nu",1760,2014,11,"https://www.smogon.com/stats/2014-11/nu-1760.txt","https://www.smogon.com/stats/2014-11/metagame/nu-1760.txt"
"6","ou",0,2014,11,"https://www.smogon.com/stats/2014-11/ou-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen4ou-0.txt"
"6","ou",0,2014,11,"https://www.smogon.com/stats/2014-11/ou-0.txt","https://www.smogon.com/stats/2014-11/metagame/gen5ou-0.txt"
"6","ou",0,2014,11,"https://www.smogon.com/stats/2014-11/ou-0.txt","https://www.smogon.com/stats/2014-11/metagame/ou-0.txt"
